ID,Name,Position,Position2,Price,Team,Opponent,Projection,SD,Min deviation,Max deviation,Min Exposure,Max Exposure,Floor,Ceiling
7022507,Isaiah Roby,PF,C,6000,SAS,LAL,17.17,11.175,0.01,0.05,0,1,12.7,21.64
7022571,John Konchar,SG,SF,10180,MEM,BKN,26.425,11.145,0.01,0.05,0,1,21.967,30.883
7001417,Ben Simmons,PG,SF,11880,BKN,MEM,31.445,12.375,0.01,0.05,0,1,26.495,36.395
7022804,Charles Bassey,C,0,8030,SAS,LAL,30.425,12.03,0.01,0.05,0,1,25.613,35.237
7022549,Brandon Clarke,PF,C,9600,MEM,BKN,24.6375,11.67,0.01,0.05,0,1,19.9695,29.3055
7001226,Joe Harris,SG,SF,7740,BKN,MEM,20.53,9.63,0.01,0.05,0,1,16.678,24.382
7022325,Keita Bates-Diop,PF,0,6580,SAS,LAL,18.36,8.85,0.01,0.05,0,1,14.82,21.9
7023009,Jeremy Sochan,PF,0,8370,SAS,LAL,21.7425,10.125,0.01,0.05,0,1,17.6925,25.7925
7022366,Duncan Robinson,SF,SG,6000,MIA,CLE,18.4725,9.345,0.01,0.05,0,1,14.7345,22.2105
7001119,Kentavious Caldwell-Pope,SG,0,9560,DEN,DAL,24.2575,11.16,0.01,0.05,0,1,19.7935,28.7215
7000987,Jeff Green,PF,C,7980,DEN,DAL,21.0675,10.11,0.01,0.05,0,1,17.0235,25.1115
7001328,Josh Richardson,SG,SF,7600,SAS,LAL,21.3725,9.78,0.01,0.05,0,1,17.4605,25.2845
7001531,Royce O'Neale,SF,0,10460,BKN,MEM,26.175,11.22,0.01,0.05,0,1,21.687,30.663
7022586,Caleb Martin,SF,0,11360,MIA,CLE,27.91,11.76,0.01,0.05,0,1,23.206,32.614
7022314,Bruce Brown,SG,SF,10440,DEN,DAL,31.79,12.24,0.01,0.05,0,1,26.894,36.686
7001598,Jarrett Allen,C,0,14030,CLE,MIA,35.3975,12.885,0.01,0.05,0,1,30.2435,40.5515
7022707,Tre Jones,PG,0,12830,SAS,LAL,30.36,11.535,0.01,0.05,0,1,25.746,34.974
7022811,Evan Mobley,C,PF,14360,CLE,MIA,31.575,12.195,0.01,0.05,0,1,26.697,36.453
7022855,Alperen Sengun,C,0,12710,HOU,GSW,33.475,12.42,0.01,0.05,0,1,28.507,38.443
7001366,Tyus Jones,PG,0,12360,MEM,BKN,34.64,12.645,0.01,0.05,0,1,29.582,39.698
7001019,Kyle Lowry,PG,0,13830,MIA,CLE,37.9775,13.455,0.01,0.05,0,1,32.5955,43.3595
7022310,Michael Porter,SF,PF,10760,DEN,DAL,30.6225,12.195,0.01,0.05,0,1,25.7445,35.5005
7001091,Andrew Wiggins,SF,0,12540,GSW,HOU,32.8825,11.91,0.01,0.05,0,1,28.1185,37.6465
7022583,Max Strus,SF,PF,10910,MIA,CLE,29.05,11.595,0.01,0.05,0,1,24.412,33.688
7022516,Jordan Poole,SG,PG,10240,GSW,HOU,27.65,10.785,0.01,0.05,0,1,23.336,31.964
7001116,Spencer Dinwiddie,PG,SG,14310,DAL,DEN,31.5125,11.925,0.01,0.05,0,1,26.7425,36.2825
7001321,Christian Wood,PF,C,11260,DAL,DEN,32.5025,12.945,0.01,0.05,0,1,27.3245,37.6805
7001533,Dillon Brooks,SG,SF,13150,MEM,BKN,34.08,12.735,0.01,0.05,0,1,28.986,39.174
7022708,Devin Vassell,SG,SF,12630,SAS,LAL,34.425,12.21,0.01,0.05,0,1,29.541,39.309
7001184,Klay Thompson,SG,0,11810,GSW,HOU,30.6425,11.4,0.01,0.05,0,1,26.0825,35.2025
7001203,Russell Westbrook,PG,0,14610,LAL,SAS,34.94,12.495,0.01,0.05,0,1,29.942,39.938
7001570,Bam Adebayo,C,0,16020,MIA,CLE,41.8525,14.385,0.01,0.05,0,1,36.0985,47.6065
7022840,Bones Hyland,PG,SG,12330,DEN,DAL,33.2275,12.795,0.01,0.05,0,1,28.1095,38.3455
7022538,Kevin Porter,PG,0,14370,HOU,GSW,37.27,12.36,0.01,0.05,0,1,32.326,42.214
7022541,Keldon Johnson,PF,0,13830,SAS,LAL,35.8825,12.45,0.01,0.05,0,1,30.9025,40.8625
7022856,Jalen Green,SG,0,15050,HOU,GSW,35.3575,12.42,0.01,0.05,0,1,30.3895,40.3255
7000838,Anthony Davis,PF,C,19460,LAL,SAS,49.2475,15.12,0.01,0.05,0,1,43.1995,55.2955
7001216,LeBron James,SF,PF,18560,LAL,SAS,49.825,14.865,0.01,0.05,0,1,43.879,55.771
7022504,Darius Garland,PG,0,16830,CLE,MIA,41.32,13.575,0.01,0.05,0,1,35.89,46.75
7001171,Stephen Curry,PG,0,20630,GSW,HOU,51.8775,15.45,0.01,0.05,0,1,45.6975,58.0575
7001221,Kyrie Irving,PG,0,18590,BKN,MEM,45.005,14.115,0.01,0.05,0,1,39.359,50.651
7001565,Donovan Mitchell,SG,PG,18680,CLE,MIA,43.565,14.22,0.01,0.05,0,1,37.877,49.253
7001210,Kevin Durant,SF,0,19270,BKN,MEM,51.865,15.495,0.01,0.05,0,1,45.667,58.063
7022296,Luka Doncic,PG,0,23700,DAL,DEN,60.2775,17.43,0.01,0.05,0,1,53.3055,67.2495
