ID,Name,Position,Position2,Price,Team,Opponent,Projection,SD,Min deviation,Max deviation,Min Exposure,Max Exposure,Floor,Ceiling,80th_Perc
T2000033,Kansas City,DST,0,7460,KC,LA,13.425,8.4,0.01,0.05,0,1,5.5594875,12.9721375,13.425
T2000036,Miami Dolphins,DST,0,6940,MIA,HOU,12.725,8.25,0.01,0.05,0,1,4.92165,11.48385,12.725
T2000029,San Francisco,DST,0,6740,SF,NO,12.6,8.1,0.01,0.05,0,1,4.8352125,11.2821625,12.6
T2000023,New York,DST,0,6560,NYJ,CHI,12.125,8.25,0.01,0.05,0,1,4.65501,10.86169,12.125
T2000017,Denver Broncos,DST,0,6800,DEN,CAR,11.875,7.8,0.01,0.05,0,1,4.5743625,10.6735125,11.875
T2000018,Carolina Panthers,DST,0,6380,CAR,DEN,11.05,7.35,0.01,0.05,0,1,4.2490125,9.9143625,11.05
T2000007,Tennessee Titans,DST,0,5230,TEN,CIN,11.275,7.2,0.01,0.05,0,1,4.127775,9.631475,11.275
T2000015,Baltimore Ravens,DST,0,6530,BAL,JAC,10.6,7.35,0.01,0.05,0,1,3.94926,9.21494,10.6
T2000010,Chicago Bears,DST,0,4910,CHI,NYJ,10.475,7.35,0.01,0.05,0,1,3.89223,9.08187,10.475
T2000014,Tampa Bay,DST,0,6320,TB,CLE,10.55,7.05,0.01,0.05,0,1,3.881025,9.055725,10.55
T2000025,Washington Commanders,DST,0,6330,WAS,ATL,10.7,7.2,0.01,0.05,0,1,3.84042,8.96098,10.7
T2000035,Seattle Seahawks,DST,0,5110,SEA,LV,9.85,6.75,0.01,0.05,0,1,3.5461125,8.2742625,9.85
T2000042,LA Chargers,DST,0,5030,LAC,ARI,9.7,6.75,0.01,0.05,0,1,3.543225,8.267525,9.7
T2000013,Atlanta Falcons,DST,0,4770,ATL,WAS,9.75,6.9,0.01,0.05,0,1,3.52092,8.21548,9.75
T2000024,Cincinnati Bengals,DST,0,5890,CIN,TEN,10.075,6.9,0.01,0.05,0,1,3.48975,8.14275,10.075
T2000005,Jacksonville Jaguars,DST,0,4750,JAC,BAL,9.325,6.75,0.01,0.05,0,1,3.35634,7.83146,9.325
T2000032,Cleveland Browns,DST,0,4700,CLE,TB,8.9,6.45,0.01,0.05,0,1,3.09255,7.21595,8.9
T2000043,Las Vegas,DST,0,4260,LV,SEA,8.075,5.85,0.01,0.05,0,1,2.819475,6.578775,8.075
T2000019,Arizona Cardinals,DST,0,4690,ARI,LAC,8.05,6.15,0.01,0.05,0,1,2.78625,6.50125,8.05
T2000027,New Orleans,DST,0,4000,NO,SF,8.075,6,0.01,0.05,0,1,2.631375,6.139875,8.075
T2000030,LA Rams,DST,0,4000,LA,KC,7.325,5.1,0.01,0.05,0,1,2.4166875,5.6389375,7.325
T2000009,Houston Texans,DST,0,4000,HOU,MIA,6.85,4.95,0.01,0.05,0,1,2.1655125,5.0528625,6.85
2003902,Patrick Mahomes,QB,0,16850,KC,LA,31.26,9.75,0.01,0.05,0,1,14.656905,34.199445,31.26
2006423,Tua Tagovailoa,QB,0,14090,MIA,HOU,28.975,11.25,0.01,0.05,0,1,13.33779,31.12151,28.975
2006703,Justin Herbert,QB,0,13500,LAC,ARI,28.055625,9.3,0.01,0.05,0,1,13.21833,30.84277,28.055625
2004421,Lamar Jackson,QB,0,15970,BAL,JAC,27.52,10.2,0.01,0.05,0,1,12.852435,29.989015,27.52
2006540,Joe Burrow,QB,0,13540,CIN,TEN,26.98,10.65,0.01,0.05,0,1,12.44745,29.04405,26.98
2000151,Geno Smith,QB,0,12290,SEA,LV,26.69625,7.35,0.01,0.05,0,1,12.423225,28.987525,26.69625
2005224,Kyler Murray,QB,0,14250,ARI,LAC,26.46,8.55,0.01,0.05,0,1,12.30366,28.70854,26.46
2002019,Tom Brady,QB,0,12460,TB,CLE,24.035,9,0.01,0.05,0,1,11.037825,25.754925,24.035
2000170,Jimmy Garoppolo,QB,0,11540,SF,NO,23.31,8.85,0.01,0.05,0,1,10.446765,24.375785,23.31
2006802,Trevor Lawrence,QB,0,11440,JAC,BAL,21.905,8.25,0.01,0.05,0,1,9.90789,23.11841,21.905
2001896,Taylor Heinicke,QB,0,12360,WAS,ATL,21.645,6.45,0.01,0.05,0,1,9.891825,23.080925,21.645
2000836,Derek Carr,QB,0,11130,LV,SEA,22.04,10.2,0.01,0.05,0,1,9.846135,22.974315,22.04
2001654,Russell Wilson,QB,0,12090,DEN,CAR,20.188125,9.45,0.01,0.05,0,1,9.07044,21.16436,20.188125
2000195,Jacoby Brissett,QB,0,9690,CLE,TB,20.57,9.45,0.01,0.05,0,1,9.060285,21.140665,20.57
2004708,Mike White,QB,0,9010,NYJ,CHI,19.57,6,0.01,0.05,0,1,8.87016,20.69704,19.57
2000609,Marcus Mariota,QB,0,11730,ATL,WAS,20.03,10.5,0.01,0.05,0,1,8.80197,20.53793,20.03
2005008,Kyle Allen,QB,0,8370,HOU,MIA,18.66625,6,0.01,0.05,0,1,8.48418,19.79642,18.66625
2000072,Ryan Tannehill,QB,0,10220,TEN,CIN,18.89125,8.55,0.01,0.05,0,1,8.32584,19.42696,18.89125
2000251,Andy Dalton,QB,0,8850,NO,SF,17.925,7.2,0.01,0.05,0,1,8.01531,18.70239,17.925
2004903,Sam Darnold,QB,0,9500,CAR,DEN,16.845,7.5,0.01,0.05,0,1,7.38057,17.22133,16.845
2006350,Bryce Perkins,QB,0,9800,LA,KC,16.24625,7.95,0.01,0.05,0,1,7.1576355,16.7011495,16.24625
2000679,Trevor Siemian,QB,0,8000,CHI,NYJ,15.44625,7.95,0.01,0.05,0,1,6.712485,15.662465,15.44625
2003895,Austin Ekeler,RB,FLEX,17490,LAC,ARI,29.175,11.55,0.01,0.05,0,1,13.36911,31.19459,29.175
2000614,Derrick Henry,RB,FLEX,16240,TEN,CIN,27.4,12.9,0.01,0.05,0,1,12.259455,28.605395,27.4
2004192,Christian McCaffrey,RB,FLEX,16580,SF,NO,27.3,13.5,0.01,0.05,0,1,12.21525,28.50225,27.3
2005211,Josh Jacobs,RB,FLEX,13970,LV,SEA,25.9,9.45,0.01,0.05,0,1,11.78472,27.49768,25.9
2004684,Jeff Wilson,RB,FLEX,12090,MIA,HOU,26.65,12.75,0.01,0.05,0,1,11.769765,27.462785,26.65
2007488,Kenneth Walker,RB,FLEX,14290,SEA,LV,26.125,12.6,0.01,0.05,0,1,11.5002,26.8338,26.125
2006801,Travis Etienne,RB,FLEX,13910,JAC,BAL,24.25,11.55,0.01,0.05,0,1,10.669755,24.896095,24.25
2003738,James Conner,RB,FLEX,14080,ARI,LAC,22.975,9.9,0.01,0.05,0,1,10.20645,23.81505,22.975
